Week,Plot ID,Treatment,Stressor_app,Replicate,Block,Light_level,Disturbance_level,Shoot_density,Day0_density,Leaf_surface_area,Day0_surface_area,Avg_LSA,Day0_Avg_LSA,Total_invert_abundance,Day0_invert,Crustacean_abundance,Day0_crustacean
6,7,StaticStatic,1,2,2,25,high,60,184,3525.21,10469.75207,58.75349999,56.9008265,4,15,4,15
6,8,InPhase,2,2,2,0,high,44,116,1696.98672,7314.16192,38.56788,63.05312,2,19,2,19
6,9,InPhase,2,3,3,0,high,36,100,1164.431603,5389.208,32.3453223,53.89208,5,21,5,21
6,10,Control,0,3,3,100,none,144,96,6843.9168,4546.7136,47.5272,47.3616,0,7,0,7
6,11,OutPhase,3,3,3,50,high,64,160,2227.2,9341.568,34.8,58.3848,4,18,4,18
6,12,StaticStatic,1,3,3,25,high,112,132,5455.912,5069.26992,48.7135,38.40356,6,3,6,3
6,13,StaticStatic,1,4,4,25,high,40,96,1130.4,4994.154667,28.26,52.02244448,0,4,0,4
6,14,Control,0,4,4,100,none,80,56,2430.4,2438.00368,30.37999998,43.53578,0,6,0,5
6,15,OutPhase,3,4,4,50,high,4,40,46.225,1129.44,11.55625,28.236,0,2,0,2
6,16,InPhase,2,4,4,0,high,4,60,47.232,1928.307692,11.808,32.13846157,0,3,0,3
6,17,StaticStatic,1,5,5,25,high,60,72,2493.8496,2747.278125,41.56416,38.15664063,2,1,2,1
6,18,Control,0,5,5,100,none,148,132,5452.6752,7796.448,36.8424,59.064,0,2,0,2
6,19,InPhase,2,5,5,0,high,60,108,2452.700826,3960.330604,40.87834708,36.66972784,0,3,0,3
6,20,OutPhase,3,5,5,50,high,44,68,1699.573333,1508.414163,38.62666667,22.18256124,0,3,0,3
6,21,InPhase,2,6,6,0,high,56,128,1485.85472,4864.47104,26.53312,38.00368,0,1,0,1
6,22,StaticStatic,1,6,6,25,high,44,84,1376.232,1982.1312,31.278,23.5968,0,1,0,0
6,23,Control,0,6,6,100,none,216,176,10921.75056,9550.66464,50.56366,54.26514,0,1,0,1
6,24,OutPhase,3,6,6,50,high,44,76,1575.077778,2169.40784,35.7972222,28.54484,0,1,0,1
